osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
node,13727306801,29.1579875,-82.088555,3450,Southeast Maricamp Road,,,,34471,,"3450 Southeast Maricamp Road, 34471",27836,1083054509,1083054572,Southeast Maricamp Road,66.79
way,867026173,29.641882050000003,-82.3497578,1103,Gale Lemerand Drive,,Gainesville,FL,32611,,"1103 Gale Lemerand Drive, Gainesville FL 32611",96575,84863993,84864004,Gale Lemerand Drive,66.82
way,784958412,29.542536889443415,-82.31837476591478,12130,South Highway 441,,Micanopy,FL,32667,,"12130 South Highway 441, Micanopy FL 32667",84101,2088667546,2088667540,,66.82
way,1093900057,29.084056187322282,-82.21691064369753,5870,Southwest 95th Street Road,,Ocala,FL,34476,,"5870 Southwest 95th Street Road, Ocala FL 34476",73683,6063653667,6063653666,Southwest 95th Street Road,66.89
node,13485226861,29.1265282,-82.2191324,6150,SW 60th Ave,1505,Ocala,FL,34474,,"6150 SW 60th Ave #1505, Ocala FL 34474",72349,3605917109,3605917104,Southwest 60th Avenue,66.95
node,4117461923,29.6424208,-82.4468672,1106,Southwest 98th Street,,Gainesville,FL,,US,"1106 Southwest 98th Street, Gainesville FL, US",102497,84904226,84902461,Southwest 99th Street;Southwest 9th Place;Southwest 98th Street,66.97
way,452713470,29.606113793394577,-82.44315462310904,5214,Southwest 94th Street,,Gainesville,FL,,US,"5214 Southwest 94th Street, Gainesville FL, US",80718,84870550,84852418,Southwest 95th Terrace,67.0
way,150821743,29.64251009141277,-82.34974744800978,1103,Gale Lemerand Drive,,Gainesville,FL,32611,,"1103 Gale Lemerand Drive, Gainesville FL 32611",96579,84864004,84863993,Gale Lemerand Drive,67.06
relation,11797936,29.637009273552977,-82.37037492460634,3259,Hull Road,,Gainesville,FL,32611,US,"3259 Hull Road, Gainesville FL 32611, US",92142,84837894,84837892,Hull Road,67.07
node,4207111204,29.6821167,-82.3532395,2162,Northwest 31st Avenue,,Gainesville,FL,,US,"2162 Northwest 31st Avenue, Gainesville FL, US",109015,3708580796,84761144,Northwest 34th Place;Northwest 36th Avenue,67.09
