node_id,lat,lon,incident_streets
98748356,29.2615453,-81.9237613,Salt Springs Highway
98748369,29.2661314,-81.9232532,
98748376,29.2669301,-81.9237848,
98748398,29.0311347,-82.0126649,Southeast 131st Place
98748415,29.1174991,-82.0498327,Dogwood Drive
98748420,29.1177431,-82.0494759,Dogwood Drive;Willow Road
98748425,29.118316,-82.0486113,Dog Drive Lane;Dogwood Drive
98748670,29.0210113,-81.9126007,Southeast 139 Place
98748675,29.0173533,-81.903253,Southeast 140 Street
98748676,29.039173,-81.918892,Southeast 142nd Avenue
98749573,29.0039917,-82.0728503,Southeast 150th Street
98749584,28.996252,-82.074045,
98749587,29.0039558,-82.0736105,Southeast 150th Street
98749591,29.001276,-82.075197,
98750824,29.038806,-81.9208924,
98750876,29.0132826,-82.1544319,Southwest 20th Avenue Road
98751588,29.1136296,-82.0420481,Pine Course Pass;Pine Course Place
98751591,29.112217,-82.0448018,Pine Course Pass;Willow Road
98751592,29.1127538,-82.0440095,Pine Course;Pine Course Pass
98751996,28.9672339,-81.9860476,Southeast 99th Avenue
98752004,28.9715148,-81.9874736,172nd Street
98752008,28.9733559,-81.9875194,Southeast 170th Lane
98752010,28.9742517,-81.9875251,Southeast 170th Place
98752016,28.9751617,-81.9875623,Southeast 169th Lane
98752017,28.9760662,-81.9875576,Southeast 169th Street
98752019,28.976954,-81.987617,Southeast 168th Place
98752021,28.9778872,-81.9876413,Southeast 167th Lane
98752023,28.9787904,-81.9875488,Southeast 167th Place
98752026,28.9796966,-81.9875766,Southeast 166th Place
98752161,29.0454439,-81.9158348,Southeast 120th Place;Southeast 141st Avenue Road;Southeast 142nd Avenue;Southeast 120th Place
98752183,29.0145172,-82.0754635,Southeast 142nd Lane;Southeast 44th Avenue
98752185,29.0153274,-82.0754658,Southeast 142nd Street;Southeast 44th Avenue
98752237,29.232216,-81.918649,Northeast 145th Avenue Road;Northeast 46th Street;Northeast 145th Avenue Road
98752241,29.23041,-81.920855,
98752321,29.1296648,-81.8213332,High Tension Road
98752585,29.1818748,-81.710523,
98752589,29.1816313,-81.7129609,
98752591,29.181842,-81.7125507,
98752593,29.1822729,-81.7116012,
98752595,29.182089,-81.7094665,
98752597,29.1822442,-81.7090978,
98752626,29.1531908,-82.0272277,Redwood Road;Redwood Track Pass
98752628,29.1533432,-82.0263138,Redwood Track Course
98752734,29.2270765,-82.0952599,Northeast 39th Place;Northeast 29th Terrace
98752736,29.2261784,-82.0952095,Northeast 38th Street
98752738,29.2252299,-82.0953487,Northeast 37th Place
98752762,29.1979708,-82.1459073,Northwest 11th Street;Northwest 8th Avenue
98752766,29.2006759,-82.1458916,Northwest 14th Street;Northwest 8th Avenue
98753082,29.0110639,-82.1225188,Southeast 145th Street
98753085,29.0125624,-82.122469,
98753278,29.1513703,-82.0939256,Southeast 31st Court;Southeast 31st Terrace;Southeast 36th Place
98753560,29.222717,-82.050576,Northeast 35th Street;Northeast 60th Court
98753699,29.1486415,-82.0390826,Pecan Run Way
98753700,29.1492347,-82.0397888,Pecan Road
98753909,29.3836557,-82.113917,Northeast 161st Street;Northeast Jacksonville Road
98754030,29.1862694,-82.1448237,Southwest 7th Avenue;Southwest Broadway Street
